site,plot,_TYPE_,_FREQ_,aspect,SlopeDeg,PlotYOD,avgdbh,avgheight,avgscorch,OL,Litter,Ashdepth,PCntcover,PercentGravimetricSoilmoisture,DOC_fum,TDN_fum,DOC,TDN,MicrobialBiomassC,MicrobialBiomassTDN,MONTH,EFFLUX,RHcmbr,Tsoil_C,Tair,Status,BB,BURN,YOD,SampleDate,SAMPLEIDPLOT,GalleryNumber,pH,BG_4C,CB_4C,NAG_4C,PHOS_4C,XYL_4C,AG_4C,LAP_4C,BG_15C,CB_15C,NAG_15C,PHOS_15C,XYL_15C,AG_15C,LAP_15C,BG_25C,CB_25C,NAG_25C,PHOS_25C,XYL_25C,AG_25C,LAP_25C,BG_35C,CB_35C,NAG_35C,PHOS_35C,XYL_35C,AG_35C,LAP_35C,plot1,merger
FEF,108,,,,,,,,,,,,,,,,,,,,9,,,,,UBB,YES,UNBUR,2005,09/22/2012,Plot108-,142,4.65,33.11549849,13.78450689,5.061119186,46.60275355,5.318865741,3.812381568,1.46631029,234.9325628,76.85239673,42.55422256,389.3930254,16.08884941,16.68224343,2.303166055,1075.261445,339.6902214,212.2291866,1687.406712,225.7585702,28.068281,2.546211383,1179.642146,399.3545354,260.4386062,1569.439982,109.6907005,96.5005531,4.768221799,108,108
FEF,109,7,12,,,,,,,,,,,,,,,,,,7,3.057887401,29.508951776,10.355442491,35.581583978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,109
FEF,109,7,12,,,,,,,,,,,,,,,,,,8,4.6341595012,68.328690592,10.561566353,28.40281566,UBB,YES,UNBUR,2006,08/26/2013,FEF109,65,4.45,42.58679059,14.50339739,16.5554009,88.77502894,3.716759459,3.589644197,0.608474361,84.35828552,27.37600455,0.655499911,201.6387655,21.19487576,155.3446864,2.324243139,270.084593,196.1685947,129.7214602,561.1127399,95.46770491,25.9300061,7.280705371,365.2482216,19.87765083,19.74887731,737.5324573,130.4941013,95.98279897,9.844521152,109,109
FEF,109,,,,,,,,,,,,,,,,,,,,9,,,,,UBB,YES,UNBUR,2006,09/22/2012,Plot109,143,4.55,59.09182442,25.27686919,24.83728576,118.6114206,16.17749222,7.440771582,1.644114382,62.06275191,11.27353413,19.56547259,162.4761437,1.099889986,6.123126784,2.825413268,215.2020355,29.15542737,54.62101975,564.9904272,64.08493895,,8.228067511,289.5019146,65.18708373,46.28106169,621.9215034,70.78258801,35.00527276,10.95541913,109,109
FEF,110,7,12,,,,,,,,,,,,,,,,,,7,4.3507155023,22.573580124,11.314760145,37.354741733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,110
FEF,110,7,6,,,,,,,,,,,,,,,,,,8,5.4174765737,72.842502337,11.22379837,28.361343385,UBB,YES,UNBUR,2007,08/26/2013,FEF110,66,4.48,61.24950732,35.7582348,31.77015297,95.19517173,9.2421875,3.921898461,0.428368489,300.6859164,114.2724873,148.0279772,543.6580448,40.69562922,27.83372044,1.76913412,865.301098,414.4041385,467.8737331,1825.282517,162.1085304,102.5730574,5.708178033,1414.15076,554.1440034,653.2200169,2137.562922,243.2115709,160.3112331,7.148701427,110,110
FEF,110,,,,,,,,,,,,,,,,,,,,9,,,,,UBB,YES,UNBUR,2007,09/22/2012,FEF110,135,4.3,50.13604384,22.47554459,17.58524816,80.86737288,7.566666001,6.392073609,0.706951968,112.2474993,37.85789282,35.33815249,162.6423059,25.88912626,19.58977544,1.253225713,287.84115,147.6519608,195.6415607,661.1063196,165.5192104,142.8415474,13.90463686,371.1071145,202.8571807,230.1161897,783.3137255,328.3860625,152.9205087,21.33217135,110,110
FEF,111,7,12,,,,,,,,,,,,,,,,,,7,4.1647577043,21.745213788,10.875830142,36.357467333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,111
FEF,111,7,12,,,,,,,,,,,,,,,,,,8,5.3022664863,61.63718551,11.269692739,30.422635872,UBN,NO,UNBUR,0,08/26/2013,FEF111,67,4.44,27.19458852,8.147392552,13.11495953,72.3761398,5.568919369,4.192276907,1.098253669,135.5863403,74.25349404,69.85135148,347.5392303,35.2616489,28.13025159,3.054238094,550.8836326,138.7179761,247.580939,1167.967808,116.0139357,93.30989525,10.07373822,718.7382903,200.6204452,323.2610737,1415.965788,159.0933969,115.4317808,12.89000891,111,111
FEF,111,,,,,,,,,,,,,,,,,,,,9,,,,,UBN,NO,UNBUR,0,09/22/2012,FEF111,136,4.39,69.13657951,37.0049202,21.31946288,76.03033799,7.437833158,1.838124897,1.092856032,117.5688032,24.22973969,19.70565242,171.2863867,17.30074288,14.87202235,1.575647956,281.0254993,86.16637842,60.61364807,419.8911673,31.27371578,44.37656388,2.32977489,513.039743,94.82359201,63.05138725,268.6485686,30.92546732,16.82140492,4.979690012,111,111
FEF,112,7,12,,,,,,,,,,,,,,,,,,7,2.640453461,19.624714753,11.078996784,35.714249294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,112
FEF,112,7,18,,,,,,,,,,,,,,,,,,8,4.0586131084,63.922364682,11.042672476,30.687999937,UBN,NO,UNBUR,0,08/26/2013,FEF112,68,4.95,59.29446012,22.07426042,28.30322552,116.2340274,13.0379946,8.046289692,2.585020974,45.43173261,4.975754922,16.87943903,161.8219849,4.105493894,0.934405765,6.796776754,163.2869075,20.33218951,44.31901758,517.4146598,6.932553957,12.08259182,16.41603491,251.7197057,32.48832187,89.92337538,596.7926797,22.11167813,14.78303389,25.38523615,112,112
FEF,112,,,,,,,,,,,,,,,,,,,,9,,,,,UBN,NO,UNBUR,0,09/22/2012,FEF112,137,5.19,21.68579032,10.12998659,11.49303022,39.44544705,4.029698183,2.867102145,2.54199696,195.2958014,50.60194543,109.6081296,528.3441294,19.0197764,15.90116096,4.825068203,728.7112632,226.5646759,343.7850149,1869.23348,127.5610112,35.09158841,18.8379148,888.8991926,270.3242957,463.7774565,1950.416485,94.49378722,52.31822607,30.96541141,112,112
FEF,113,7,12,,,,,,,,,,,,,,,,,,7,2.5872038885,21.28866608,10.786154873,35.731522243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,113
FEF,113,7,12,,,,,,,,,,,,,,,,,,8,5.4945338075,71.240797065,11.01271553,27.087489764,UBB,YES,UNBUR,2007,08/26/2013,FEF113,69,4.59,17.54764339,6.422576578,7.759217134,32.89350137,2.320824645,0.531834996,4.418366617,74.74111673,17.42786675,28.52229481,196.3481737,13.44842452,14.30116214,7.098919915,309.9086498,47.70049958,78.36230121,608.8386038,77.87439478,48.22474818,22.62580023,360.4689658,77.09603212,94.37156047,654.2433956,2.279599747,60.17829769,25.00756822,113,113
FEF,113,,,,,,,,,,,,,,,,,,,,9,,,,,UBB,YES,UNBUR,2007,09/22/2012,FEF113,138,4.54,12.60484048,10.79088874,5.892279174,20.71405064,3.999378239,3.427936447,2.047177511,173.3179828,97.96155071,67.99102452,315.2220586,38.3301823,30.10635249,3.006747593,634.3631587,242.3720745,183.876214,967.7207451,78.17075306,41.42158892,7.115051533,674.1403439,294.5366184,301.280847,1008.04848,84.2267951,63.8564719,8.53302633,113,113
FEF,114,7,9,,,,,,,,,,,,,,,,,,7,2.6455131574,31.618402521,10.994341023,33.925030603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,114
FEF,114,7,12,,,,,,,,,,,,,,,,,,8,4.0332961371,84.771649708,11.044449298,22.090616862,UBB,YES,UNBUR,2006,08/26/2013,FEF114,70,4.77,21.11725047,7.083875227,12.17001353,38.9025624,3.340024614,0.788310057,2.460089563,190.1559031,43.93663908,104.0400905,437.1014469,38.03515625,19.3566766,4.838404105,992.786801,262.8364001,516.7720498,1882.47831,232.3549548,113.4085629,15.32301862,1133.27647,384.9913651,595.3820929,1966.588764,246.7935341,93.01120477,25.39283024,114,114
