site,plot,Status,BB,BURN,YOD,SampleDate,SAMPLEIDPLOT,GalleryNumber,pH,BG_4C,CB_4C,NAG_4C,PHOS_4C,XYL_4C,AG_4C,LAP_4C,BG_15C,CB_15C,NAG_15C,PHOS_15C,XYL_15C,AG_15C,LAP_15C,BG_25C,CB_25C,NAG_25C,PHOS_25C,XYL_25C,AG_25C,LAP_25C,BG_35C,CB_35C,NAG_35C,PHOS_35C,XYL_35C,AG_35C,LAP_35C,year,YSD,Carbs,Cellu,BURNIND,month,efflux,Tsoil_C,RHcmbr,MicrobialBiomassC,MicrobialBiomassTDN,PCntcover,PercentGravimetricSoilmoisture,SlopeDeg,aspect,avgdbh,avgheight,avgscorch,UNH_SampleID,UNH_ShortName,day,Aromatic,Lignin,Lipid,Polysaccharide,NBearing,Protein,Phenol,Unknown
LSP,22,UBN,NO,UNBUR,0,08/13/2013,LSP022,161,4.64,14.90100631,9.442532783,7.103638512,24.96457301,1.600915639,0.975103388,0.290040249,71.90116774,27.87189573,33.20787386,113.6052649,14.99400439,9.351844079,0.665396096,343.4680944,119.5060628,153.3701475,515.1733123,121.682188,98.79949007,3.485052317,371.4821583,93.31570094,168.2204218,585.6488781,96.71233506,45.70586815,1.735920857,2013,0,81.253011819,42.86590012,NO,8,2.0621869466,13.960539343,38.046209971,522.6442081,19.71374652,13.75,9.227467811,13.3,245,20.2,13.5,0,37538,0813LSP-,13,0.078685039,0.317244237,0.049592176,0.204196384,0.030631734,0.068623188,0.022992012,0.22803523
LSP,23,UBB,YES,UNBUR,2008,08/13/2013,LSP023,162,4.53,43.40776791,15.78455943,15.04313895,60.50986683,6.583884413,3.307512037,0.439900207,124.8052352,37.54466305,61.30540479,189.5457372,22.65660335,26.19063772,0.989768287,433.8274536,102.7068785,172.1209294,623.2742537,65.06737229,117.7569539,3.701303323,637.3539333,159.0594865,204.4633001,729.7860279,99.81320229,95.86172145,4.182884651,2013,5,150.99587292,60.2012664,NO,8,2.8910019597,14.375757455,61.208531379,742.383623,31.50484777,5,18.76484561,16.6,271,20.5,10.7,0,37539,0813LSP-,13,0.068903401,0.297101328,0.033500905,0.260975895,0.055964478,0.096534907,0.022904971,0.164114114
LSP,24,UBB,YES,UNBUR,2009,08/13/2013,LSP024,163,4.68,119.0551812,76.80692433,47.44667359,96.80918326,17.24755855,12.85496,0.650076968,158.7555478,50.18399995,53.79292124,201.7207055,18.04560615,6.549178639,1.077002404,723.8786319,170.0801629,225.2396756,828.2714288,105.0056137,63.98839193,4.836381449,859.3353476,193.6512629,238.8666527,995.5704889,97.51208292,61.24019778,6.159582117,2013,4,165.30472644,68.2296061,NO,8,2.4449099402,14.067712783,60.749657313,606.5544906,33.77495189,2,20.657277,18.3,251,15.8,8.725,0,37540,0813LSP-,13,0.083920374,0.312495461,0.043201477,0.193568608,0.033506228,0.065661276,0.025800484,0.241846092
LSP,25,UBN,NO,UNBUR,0,08/13/2013,LSP025,95,4.38,20.90836017,7.856461068,7.377830072,24.15139199,2.250955743,1.760052156,0.473807633,174.7284108,41.43424955,66.64315768,213.502897,11.99639605,7.937961055,0.795887855,807.5798178,193.5370322,294.576647,790.1101744,169.1720942,127.1522827,4.301326103,837.2836012,238.2564384,300.2548765,912.3803009,133.7614183,71.18083519,5.373978494,2013,0,182.66637186,53.4306456,NO,8,1.7015296521,14.253873348,62.455993969,475.9645619,47.42923276,0.5,9.150326797,16.2,215,18.63333333,10.7,0,37541,0813LSP-,13,0.081457205,0.388284325,0.029154965,0.263852431,0.035330856,0.041471068,0.017499775,0.142949375
LSP,26,UBN,NO,UNBUR,0,08/13/2013,LSP026,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,0,,,NO,8,3.2716170053,14.284914968,61.162691752,1018.823867,50.37879548,5,10.86474501,18.4,278,23.4,13.83333333,0,37542,0813LSP-,13,0.122642336,0.330450397,0.02506679,0.160431431,0.017973576,0.050289821,0.017470621,0.27567503
LSP,26,UBN,NO,UNBUR,0,08/13/2013,LSP026,164,4.51,18.37345634,4.614434982,7.303482647,37.67476184,1.673631159,2.122413876,0.316298204,138.0084202,39.50271004,74.13327601,327.1856764,31.44598454,24.27950495,0.842856651,372.4023596,92.15602815,233.9691203,965.8402844,114.5668397,29.67504209,2.90216783,679.2058958,180.8451666,328.051132,1259.989916,133.3116407,99.2136206,4.088363366,2013,0,162.28792515,70.94869458,NO,8,3.2716170053,14.284914968,61.162691752,1018.823867,50.37879548,5,10.86474501,18.4,278,23.4,13.83333333,0,37542,0813LSP-,13,0.122642336,0.330450397,0.02506679,0.160431431,0.017973576,0.050289821,0.017470621,0.27567503
LSP,27,LLB,YES,LIGHT,2008,08/13/2013,LSP027,97,5.5,2.043063347,0.076851831,1.457581401,3.094739855,0.091272133,5.049234276,2.916731729,17.69695549,3.567273057,13.67372271,23.64662221,17.35622568,1.046345071,6.375752085,86.91739358,2.818097309,126.7041516,111.6858299,8.158084517,142.2328151,28.3870775,52.26453439,10.79391466,55.58603035,170.0426999,10.1672433,19.85551723,29.0651747,2013,5,18.743300561,20.923498737,YES,8,1.2770664494,17.680144788,29.064003149,239.2183885,-2.501336436,8.75,10.88888889,21,290,20.2,11.43333333,96.66666667,37543,0813LSP-,13,0.066283185,0.48360978,0.029008723,0.181435582,0.022915726,0.07109904,0.020387657,0.125260307
LSP,28,LBN,NO,LIGHT,0,08/13/2013,LSP028,98,6.44,18.56741264,3.162080797,8.457973344,8.884155589,3.905421921,4.410893886,1.692562758,29.12114226,6.283856262,15.18291263,18.23130123,6.12370944,9.555427058,2.33271778,185.6550391,31.11423974,76.94835134,105.5341841,49.8819221,29.8788214,13.52527909,180.1008959,35.31027443,106.3437637,82.71618662,58.06247438,50.56321447,14.76742689,2013,0,38.676569318,12.407565702,YES,8,2.8193821709,17.718995573,23.21119054,346.7342599,-4.08223329,1,2.240325866,20.2,320,18.2,12.66666667,116.6666667,37544,0813LSP-,13,0.111092034,0.190568663,0.084455759,0.098567242,0.042728161,0.160030787,0.02439241,0.288164945
LSP,29,LBN,NO,LIGHT,0,08/13/2013,LSP029,99,5.84,31.09298527,7.642928322,21.04296086,44.73979558,3.8610591,5.304709015,1.966120716,31.89279462,9.898112984,20.10672324,36.40715494,13.05303525,13.87382803,7.375268198,91.00472496,16.86794942,57.87829173,117.7162651,25.10906692,58.57966951,47.76648919,113.3309734,14.58937828,79.54556727,119.1187429,29.71188787,75.97174591,48.5724239,2013,0,45.76662265,22.951148234,YES,8,1.9281784593,17.166882515,25.989355565,-25.46232516,-38.76348261,110,1.008064516,23.1,303,15.45,9.95,110,37545,0813LSP-,13,0.061182949,0.277640576,0.02909865,0.277859549,0.035631661,0.094017468,0.025895933,0.198673214
LSP,30,LLB,YES,LIGHT,2009,08/13/2013,LSP030,100,6.08,9.696367751,0.390463464,5.827708276,25.55616324,8.503621675,4.378708159,6.428739552,74.66949618,12.99075013,39.08659308,158.4847159,13.42782336,14.04486792,17.02256953,272.3064338,43.3848648,168.5401066,474.6970502,55.56161541,60.77077368,107.1181684,345.2940681,53.51527165,190.2743419,567.2216537,71.48408103,60.86962877,118.893396,2013,4,88.7143641,26.41857349,YES,8,2.6000621815,16.91599779,32.53764534,413.6392897,-11.97345354,1.75,21.65450122,20.4,302,17.56666667,12.6,178.3333333,37546,0813LSP-,13,0.101233947,0.266325732,0.050729392,0.181701118,0.03060238,0.081180518,0.030455213,0.2577717
LSP,31,LBN,NO,LIGHT,0,08/13/2013,LSP031,101,7.03,9.874536261,2.220582579,6.048751253,6.989107755,2.025121912,2.43868808,4.319675735,11.29595839,2.53606492,8.161948104,9.756521145,3.858460967,3.601961734,9.331052294,38.95292065,6.017044515,21.39162286,32.20509962,9.8360331,27.87647918,25.86431379,61.288118,18.36498576,34.76574889,45.02145131,18.84973214,20.55924847,34.91257746,2013,0,14.897920124,6.394525887,YES,8,1.8539076844,18.000226495,36.606288114,124.8054227,-24.81591336,1.75,1.83299389,20.7,305,11.5,8.525,140,,,,,,,,,,,
LSP,32,LLB,YES,LIGHT,2009,08/13/2013,LSP032,102,5.91,12.03275128,2.120931415,2.466644717,6.059593677,0.521321455,0.048023482,3.498636957,120.5716004,7.946380559,18.61642612,79.70817363,67.43065537,57.70478999,13.16211548,493.9135176,63.867554,148.0720995,225.0806983,66.53049371,56.83583785,78.06962804,602.241453,67.37151971,129.031101,248.1916997,77.46575696,106.7126802,77.86197544,2013,4,178.27639039,75.377035929,YES,8,1.211275975,16.44892025,77.710380873,30.54463565,-35.82607559,27.5,10.17316017,20.8,300,17.45,10.9,265,37547,0813LSP-,13,0.094404695,0.350673723,0.079103261,0.184992144,0.048632668,0.083716971,0.019223793,0.139252745
LSP,33,LLB,YES,LIGHT,2008,08/13/2013,LSP033,103,4.87,12.71891785,2.372549652,5.916418457,19.05466379,0.402054872,6.707587055,0.518167973,2.547110686,13.56223267,7.428812474,12.31051426,10.98726909,13.40129745,1.109750654,52.93348495,109.8217034,133.8043441,59.70407354,113.7037919,110.1745602,4.816026652,84.97246935,4.042023114,19.79666195,133.138919,117.4714406,90.01888866,6.464069783,2013,5,15.948408136,24.54950176,YES,8,3.0944489438,16.520106795,57.210959116,168.7127911,-22.638821,17.5,23.71638142,20.6,300,33.6,17.36666667,175,37548,0813LSP-,13,0.12954728,0.346761112,0.064517137,0.150416119,0.047481706,0.084624687,0.026207723,0.150444236
LSP,34,LBN,NO,LIGHT,0,08/13/2013,LSP034,104,6.76,9.181199105,1.294690657,4.912921439,6.047123347,2.357595195,2.299965476,2.740319651,37.61704264,2.743792268,10.67793224,13.20231859,3.409003165,4.435006413,3.273894561,161.7264896,18.52603486,30.09393961,57.95202983,17.44365781,14.43329663,23.18141121,152.1760311,13.08434009,55.23103139,33.55822003,15.87978775,16.57887365,25.73756973,2013,0,42.052049053,6.152795433,YES,8,1.7086869875,17.09758234,59.516638757,88.12769501,-13.78722783,5.5,1.19047619,20.2,290,17.56666667,11.26666667,118,37549,0813LSP-,13,0.156707811,0.244483615,0.077955793,0.157563456,0.040977075,0.080813885,0.020113599,0.221384766
